Importador (prob.),A¤oMes,Pais Origen,Cond. Venta,Kg. Netos,Divisa,Flete Dolares,Seguro D¢lar,Estado dela mercaderia,Cantidad declarada,Precio Unitario en Divisa,Fob total en divisa,Precio Unitario en dolares,Fob total en dolares,Cif Total en dolares,Marca EDIT,Marca Modelo Edit,TIPO,Applicable carrier weight,Segmento
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,408,D¢lar Estadounidense,496.25,8.26,nvo.s/uso imp,1,9809.34,9809.34,9809.34,9809.34,10313.85,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,385,D¢lar Estadounidense,496.25,8.48,nvo.s/uso imp,1,10090.34,10090.34,10090.34,10090.34,10595.07,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,385,D¢lar Estadounidense,496.25,8.48,nvo.s/uso imp,1,10089.34,10089.34,10089.34,10089.34,10594.07,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,385,D¢lar Estadounidense,496.25,8.48,nvo.s/uso imp,1,10085.34,10085.34,10085.34,10085.34,10590.07,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,408,D¢lar Estadounidense,496.25,8.26,nvo.s/uso imp,1,9809.34,9809.34,9809.34,9809.34,10313.85,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,351,D¢lar Estadounidense,496.25,7.34,nvo.s/uso imp,1,8677.34,8677.34,8677.34,8677.34,9180.93,CATERPILLAR,CATERPILLAR H55E,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,522,D¢lar Estadounidense,496.25,11.26,nvo.s/uso imp,1,13574.34,13574.34,13574.34,13574.34,14081.85,CATERPILLAR,CATERPILLAR H75ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,385,D¢lar Estadounidense,496.25,8.48,nvo.s/uso imp,1,10090.34,10090.34,10090.34,10090.34,10595.07,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,408,D¢lar Estadounidense,496.25,8.26,nvo.s/uso imp,1,9809.34,9809.34,9809.34,9809.34,10313.85,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201612,EE.UU.,DAT,522,D¢lar Estadounidense,496.25,11.26,nvo.s/uso imp,1,13574.34,13574.34,13574.34,13574.34,14081.85,CATERPILLAR,CATERPILLAR H75ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
TRACK MAR SACI,201701,Italia,FOB,391.71,D¢lar Estadounidense,25.12,43.32,nvo.s/uso imp,1,7278.19,7278.19,7278.19,7278.19,7346.63,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201701,Italia,FOB,783.43,D¢lar Estadounidense,50.23,86.65,nvo.s/uso imp,2,3138.72,6277.44,3138.72,6277.44,6414.32,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201701,Italia,FOB,783.43,D¢lar Estadounidense,50.23,86.65,nvo.s/uso imp,2,3538.01,7076.02,3538.01,7076.02,7212.9,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
TRACK MAR SACI,201701,Italia,FOB,783.43,D¢lar Estadounidense,50.23,86.65,nvo.s/uso imp,2,4767.2,9534.41,4767.2,9534.41,9671.29,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
GRUAS SAN BLAS S A,201701,Francia,FOB,2029.4,D¢lar Estadounidense,343.84,303.95,nvo.s/uso imp,5,6010.31,30051.55,6010.31,30051.55,30699.34,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201701,EE.UU.,DAT,1724,D¢lar Estadounidense,496.25,31.18,nvo.s/uso imp,1,38432.34,38432.34,38432.34,38432.34,38959.77,CATERPILLAR,CATERPILLAR H120E,Martillo hidraulico,16.0 - 27.0,03. Grande
FINNING ARGENTINA SOCIEDAD ANONIMA,201701,EE.UU.,DAT,1735,D¢lar Estadounidense,496.25,31.18,nvo.s/uso imp,1,38432.34,38432.34,38432.34,38432.34,38959.77,CATERPILLAR,CATERPILLAR H120E,Martillo hidraulico,16.0 - 27.0,03. Grande
GRUAS SAN BLAS S A,201702,Francia,FOB,405.88,D¢lar Estadounidense,83.06,60.93,nvo.s/uso imp,1,6010.31,6010.31,6010.31,6010.31,6154.3,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201702,Francia,FOB,405.88,D¢lar Estadounidense,83.06,60.93,nvo.s/uso imp,1,6010.31,6010.31,6010.31,6010.31,6154.3,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201702,Francia,FOB,405.88,D¢lar Estadounidense,83.06,60.93,nvo.s/uso imp,1,6010.31,6010.31,6010.31,6010.31,6154.3,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201702,Francia,FOB,405.88,D¢lar Estadounidense,83.06,60.93,nvo.s/uso imp,1,6010.31,6010.31,6010.31,6010.31,6154.3,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201702,Francia,FOB,1390,D¢lar Estadounidense,230.86,234.78,nvo.s/uso imp,3,7749.08,23247.24,7749.08,23247.24,23712.88,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
GRUPO VIALES SRL,201703,Italia,CIF,2944.29,Euro,123.03,134.87,nvo.s/uso imp,10,2976,29760,3149.2,31491.96,31749.86,INDECO,INDECO HP 200,Martillo hidraulico,1.4 - 5.0,01. Chicas
GRUPO VIALES SRL,201703,Italia,CIF,1472.14,Euro,61.52,67.44,nvo.s/uso imp,5,3456,17280,3657.13,18285.66,18414.62,INDECO,INDECO HP 500,Martillo hidraulico,3.0 - 8.0,01. Chicas
GRUPO VIALES SRL,201703,Italia,CIF,1472.14,Euro,61.52,67.44,nvo.s/uso imp,5,4060,20300,4296.28,21481.41,21610.37,INDECO,INDECO HP 600,Martillo hidraulico,3.5 - 10.5,01. Chicas
GRUPO VIALES SRL,201703,Italia,CIF,294.43,Euro,12.3,13.49,nvo.s/uso imp,1,8788,8788,9299.44,9299.44,9325.23,INDECO,INDECO HP 1500,Martillo hidraulico,10.0 - 20.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201703,Alemania,CIF,948.77,D¢lar Estadounidense,243.1,111.72,nvo.s/uso imp,1,22100,22100,22100,22100,22454.82,Epiroc,Epiroc EC 135T,Martillo hidraulico,17 - 28,03. Grande
GRUAS SAN BLAS S A,201703,Francia,FOB,4821.26,D¢lar Estadounidense,714.82,728.39,nvo.s/uso imp,12,6010.3,72123.6,6010.3,72123.6,73566.81,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
TRACK MAR SACI,201703,Italia,FOB,779.34,D¢lar Estadounidense,35.47,70.92,nvo.s/uso imp,1,7303.7,7303.7,7303.7,7303.7,7410.09,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201703,Italia,FOB,1558.69,D¢lar Estadounidense,70.94,141.84,nvo.s/uso imp,2,11503.32,23006.64,11503.32,23006.64,23219.42,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201703,Italia,FOB,779.34,D¢lar Estadounidense,35.47,70.92,nvo.s/uso imp,1,16179.71,16179.71,16179.71,16179.71,16286.1,ITR,ITR UEH1700PSA,Martillo hidraulico,16.0 - 34.0,03. Grande
TRACK MAR SACI,201703,Italia,FOB,779.34,D¢lar Estadounidense,35.47,70.92,nvo.s/uso imp,1,3149.72,3149.72,3149.72,3149.72,3256.11,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201703,Italia,FOB,1558.69,D¢lar Estadounidense,70.94,141.84,nvo.s/uso imp,2,3550.41,7100.82,3550.41,7100.82,7313.6,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
TRACK MAR SACI,201703,Italia,FOB,1558.69,D¢lar Estadounidense,70.94,141.84,nvo.s/uso imp,2,7303.69,14607.39,7303.69,14607.39,14820.17,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201703,Italia,FOB,1558.69,D¢lar Estadounidense,70.94,141.84,nvo.s/uso imp,2,3149.72,6299.43,3149.72,6299.43,6512.21,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
HEROVIAL SRL,201703,Corea Republicana,FOB,916.67,D¢lar Estadounidense,341.05,114.62,nvo.s/uso imp,2,4512,9024,4512,9024,9479.67,KOMAC,KOMAC KB250SL,Martillo hidraulico,3.0 - 5.0,01. Chicas
HEROVIAL SRL,201703,Corea Republicana,FOB,916.67,D¢lar Estadounidense,341.05,114.62,nvo.s/uso imp,2,5400,10800,5400,10800,11255.67,KOMAC,KOMAC KB350S,Martillo hidraulico,5.0 - 9.0,01. Chicas
HEROVIAL SRL,201703,Corea Republicana,FOB,916.67,D¢lar Estadounidense,341.05,114.62,nvo.s/uso imp,2,6770,13540,6770,13540,13995.67,KOMAC,KOMAC KB400S,Martillo hidraulico,7.0 - 14.0,02. Mediana
CERRO VANGUARDIA SOCIEDAD ANONIMA,201703,EE.UU.,CIF,1849,D¢lar Estadounidense,182.58,584.16,nvo.s/uso imp,1,58233.26,58233.26,58233.26,58233.26,59000,CATERPILLAR,CATERPILLAR H120ES,Martillo hidraulico,16.0 - 27.0,03. Grande
ESE GROUP S.R.L.,201704,Italia,CFR,3952.38,Euro,124,461.12,nvo.s/uso imp,10,3764,37640,4011.29,40112.89,40698.01,INDECO,INDECO HP 350,Martillo hidraulico,1.7 - 6.5,01. Chicas
ESE GROUP S.R.L.,201704,Italia,CFR,1580.95,Euro,49.6,184.45,nvo.s/uso imp,4,4060,16240,4326.74,17306.94,17540.99,INDECO,INDECO HP 600,Martillo hidraulico,3.5 - 10.5,01. Chicas
ESE GROUP S.R.L.,201704,Italia,CFR,395.24,Euro,12.4,46.11,nvo.s/uso imp,1,18076,18076,19263.57,19263.57,19322.08,INDECO,INDECO HP 3000,Martillo hidraulico,19.0 - 32.0,03. Grande
ESE GROUP S.R.L.,201704,Italia,CFR,1976.19,Euro,62,230.56,nvo.s/uso imp,5,2976,14880,3171.52,15857.59,16150.15,INDECO,INDECO HP 200,Martillo hidraulico,1.4 - 5.0,01. Chicas
ESE GROUP S.R.L.,201704,Italia,CFR,395.24,Euro,12.4,46.11,nvo.s/uso imp,1,9756,9756,10396.95,10396.95,10455.46,INDECO,INDECO HP 1800,Martillo hidraulico,12.0 - 22.0,02. Mediana
GRUAS SAN BLAS S A,201704,Francia,FOB,125.16,Euro,85.06,146.74,nvo.s/uso imp,1,13739.6,13739.6,14588.73,14588.73,14820.53,MONTABERT,MONTABERT XL1700,Martillo hidraulico,18.0 - 28.0,03. Grande
GRUAS SAN BLAS S A,201704,Francia,FOB,105.73,Euro,71.85,123.94,nvo.s/uso imp,1,11605.6,11605.6,12322.84,12322.84,12518.63,MONTABERT,MONTABERT XL1300,Martillo hidraulico,15.0 - 22.0,02. Mediana
FONTANILLE SERGIO ENRIQUE,201704,Italia,CFR,735,Euro,1931.22,135.19,nvo.s/uso imp,4,2700,10800,2896.83,11587.32,13653.73,IDROMECCANICA,IDROMECCANICA IMI 88HP,Martillo hidraulico,1.0  - 3.0,01. Chicas
TRACK MAR SACI,201704,Italia,MUL,562.46,D¢lar Estadounidense,37.16,41.19,nvo.s/uso imp,1,7292.46,7292.46,7292.46,7292.46,7370.81,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201704,Italia,MUL,1124.93,D¢lar Estadounidense,74.32,82.39,nvo.s/uso imp,2,3144.88,6289.75,3144.88,6289.75,6446.46,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201704,Italia,MUL,1124.93,D¢lar Estadounidense,74.32,82.39,nvo.s/uso imp,2,3544.95,7089.89,3544.95,7089.89,7246.6,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
TRACK MAR SACI,201704,Italia,MUL,562.46,D¢lar Estadounidense,37.16,41.19,nvo.s/uso imp,1,4776.56,4776.56,4776.56,4776.56,4854.91,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
TRACK MAR SACI,201704,Italia,MUL,562.46,D¢lar Estadounidense,37.16,41.19,nvo.s/uso imp,1,3144.87,3144.87,3144.87,3144.87,3223.22,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
RUSCONI ALDO FLAVIO RUSCONI OSCAR MARCELO,201705,Japon,CIF,712,D¢lar Estadounidense,622.9,8.67,nvo.s/uso imp,2,5050,10100,5050,10100,10731.57,FURUKAWA,FURUKAWA FX45 SS,Martillo hidraulico,2.5 - 5.5,01. Chicas
NOVACAP S A I C A,201705,Corea Republicana,CIF,3050,D¢lar Estadounidense,470,297.2,nvo.s/uso imp,1,29220,29220,29220,29220,29987.2,MAXBRIO,MAXBRIO BR25,Martillo hidraulico,21.0 - 27.0,03. Grande
CANTERA PIATTI S A,201705,Finlandia,CPT,9406,D¢lar Estadounidense,2546.63,1974.26,nvo.s/uso imp,1,194880.37,194880.37,194880.37,194880.37,199401.26,RAMMER,RAMMER 2577 M630,Martillo hidraulico,23.0 - 28.0,03. Grande
TRACK MAR SACI,201706,Italia,CFR,836.62,D¢lar Estadounidense,29.6,62.69,nvo.s/uso imp,1,7263.5,7263.5,7263.5,7263.5,7355.79,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201706,Italia,CFR,836.62,D¢lar Estadounidense,29.6,62.69,nvo.s/uso imp,1,11440.01,11440.01,11440.01,11440.01,11532.3,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201706,Italia,CFR,836.62,D¢lar Estadounidense,29.6,62.69,nvo.s/uso imp,1,16090.66,16090.66,16090.66,16090.66,16182.95,ITR,ITR UEH1700PSA,Martillo hidraulico,16.0 - 34.0,03. Grande
TRACK MAR SACI,201706,Italia,CFR,1673.25,D¢lar Estadounidense,59.21,125.38,nvo.s/uso imp,2,3132.38,6264.76,3132.38,6264.76,6449.35,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201706,Italia,CFR,1673.25,D¢lar Estadounidense,59.21,125.38,nvo.s/uso imp,2,3530.87,7061.74,3530.87,7061.74,7246.33,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
TRACK MAR SACI,201706,Italia,CFR,2509.87,D¢lar Estadounidense,88.81,188.07,nvo.s/uso imp,3,4757.59,14272.76,4757.59,14272.76,14549.64,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
HEROVIAL SRL,201706,Corea Republicana,FOB,760,D¢lar Estadounidense,725.33,148.83,nvo.s/uso imp,4,3539.38,14157.52,3539.38,14157.52,15031.68,KOMAC,KOMAC KB200SL,Martillo hidraulico,1.2 - 4.0,01. Chicas
HEROVIAL SRL,201706,Corea Republicana,FOB,558.75,D¢lar Estadounidense,506.81,112.37,nvo.s/uso imp,3,3539.38,10618.14,3539.38,10618.14,11237.32,KOMAC,KOMAC KB200SL,Martillo hidraulico,1.2 - 4.0,01. Chicas
HEROVIAL SRL,201706,Corea Republicana,FOB,186.25,D¢lar Estadounidense,168.94,37.46,nvo.s/uso imp,1,3689.38,3689.38,3689.38,3689.38,3895.78,KOMAC,KOMAC KB250S,Martillo hidraulico,3.0 - 5.0,01. Chicas
FONTANILLE SERGIO ENRIQUE,201706,Italia,CFR,560,Euro,2019.06,97.81,nvo.s/uso imp,2,3460,6920,3881.08,7762.16,9879.03,IDROMECCANICA,IDROMECCANICA IMI 26HP,Martillo hidraulico,3.5  - 8.0,01. Chicas
VICCHIO CONSTRUCCIONES SRL,201706,Italia,CIF,1453.33,Euro,205.44,88.89,nvo.s/uso imp,4,3960,15840,4421.33,17685.33,17979.66,SOCOMEC,SOCOMEC DMS 210,Martillo hidraulico,2.8 - 4.5,01. Chicas
VICCHIO CONSTRUCCIONES SRL,201706,Italia,CIF,363.33,Euro,51.36,22.22,nvo.s/uso imp,1,4490,4490,5013.08,5013.08,5086.66,SOCOMEC,SOCOMEC DMS 300,Martillo hidraulico,4.5 - 6.0,01. Chicas
VICCHIO CONSTRUCCIONES SRL,201706,Italia,CIF,1453.33,Euro,205.44,88.89,nvo.s/uso imp,4,5080,20320,5671.81,22687.24,22981.57,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
REPAS S A,201706,Corea Republicana,CIF,650,D¢lar Estadounidense,111.62,24.41,nvo.s/uso imp,1,4750,4750,4750,4750,4886.03,SOOSAN,SOOSAN SB43 TS P,Martillo hidraulico,6.0 - 9.0,01. Chicas
REPAS S A,201706,Corea Republicana,CIF,3383.75,D¢lar Estadounidense,561.07,122.71,nvo.s/uso imp,3,3233.33,9700,3233.33,9700,10383.78,SOOSAN,SOOSAN SB35 TS P,Martillo hidraulico,3.0 - 5.5,01. Chicas
REPAS S A,201706,Corea Republicana,CIF,2255.83,D¢lar Estadounidense,374.05,81.81,nvo.s/uso imp,2,6850,13700,6850,13700,14155.86,SOOSAN,SOOSAN SB50 TS P,Martillo hidraulico,11.0 - 16.0,02. Mediana
REPAS S A,201706,Corea Republicana,CIF,4511.67,D¢lar Estadounidense,748.1,163.62,nvo.s/uso imp,4,11495,45980,11495,45980,46891.72,SOOSAN,SOOSAN SB70 TS P,Martillo hidraulico,16.0 - 21.0,02. Mediana
REPAS S A,201706,Corea Republicana,CIF,2255.83,D¢lar Estadounidense,374.05,81.81,nvo.s/uso imp,2,3600,7200,3600,7200,7655.86,SOOSAN,SOOSAN SB40 TS P,Martillo hidraulico,4.0 - 7.0,01. Chicas
REPAS S A,201706,Corea Republicana,CIF,1127.92,D¢lar Estadounidense,187.02,40.9,nvo.s/uso imp,1,18928,18928,18928,18928,19155.92,SOOSAN,SOOSAN SQ120,Martillo hidraulico,28.0 - 35.0,03. Grande
REPAS S A,201706,Corea Republicana,CIF,1405,D¢lar Estadounidense,465.67,101.85,nvo.s/uso imp,5,3963.4,19817,3963.4,19817,20384.52,SOOSAN,SOOSAN SB40 TS P,Martillo hidraulico,4.0 - 7.0,01. Chicas
IGARRETA MAQUINAS SA,201706,Francia,EXW,2083.01,Euro,199.93,111.7,nvo.s/uso imp,2,3370.2,6740.4,3838.67,7677.34,7988.97,MONTABERT,MONTABERT SC22,Martillo hidraulico,2.2 - 5.3,01. Chicas
IGARRETA MAQUINAS SA,201706,Francia,EXW,1041.51,Euro,99.97,55.85,nvo.s/uso imp,1,13524,13524,15403.88,15403.88,15559.7,MONTABERT,MONTABERT XL1700,Martillo hidraulico,18.0 - 28.0,03. Grande
TRACK MAR SACI,201706,EE.UU.,MUL,531.13,D¢lar Estadounidense,122.54,68.7,nvo.s/uso imp,1,6747.71,6747.71,6747.71,6747.71,6938.95,STANLEY,STANLEY MB556,Martillo hidraulico,3.2 - 7.2,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201707,EE.UU.,0,404,D¢lar Estadounidense,44.88,8,No Encontrado,1,10308,10308,10307.8,10307.8,10360.68,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201707,EE.UU.,0,414,D¢lar Estadounidense,46.41,8,No Encontrado,1,10305,10305,10305.34,10305.34,10359.75,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201707,EE.UU.,0,420,D¢lar Estadounidense,54.06,8,No Encontrado,1,10305,10305,10305.34,10305.34,10367.4,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201707,EE.UU.,0,407,D¢lar Estadounidense,52.02,8,No Encontrado,1,10307,10307,10307.3,10307.3,10367.32,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201707,EE.UU.,0,420,D¢lar Estadounidense,54.06,8,No Encontrado,1,10305,10305,10305.34,10305.34,10367.4,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201707,EE.UU.,0,655,D¢lar Estadounidense,49.98,17,No Encontrado,1,20579,20579,20578.8,20578.8,20645.78,CATERPILLAR,CATERPILLAR H95ES,Martillo hidraulico,7.0 - 14.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201707,EE.UU.,0,414,D¢lar Estadounidense,46.41,8,No Encontrado,1,10305,10305,10305.34,10305.34,10359.75,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
GRUAS SAN BLAS S A,201707,Francia,0,1280,D¢lar Estadounidense,99.34,204,No Encontrado,6,4535.33,27212,4535.3,27211.8,27515.14,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201707,EE.UU.,0,455,D¢lar Estadounidense,5.06,68,No Encontrado,2,693,1386,693.12,1386.24,1459.3,BOBCAT,BOBCAT HB2380,Martillo hidraulico,6.0 - 15.0,02. Mediana
GRUAS SAN BLAS S A,201707,Francia,0,682.5,D¢lar Estadounidense,65.34,102,No Encontrado,3,5966,17898,5965.85,17897.55,18064.89,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
GRUAS SAN BLAS S A,201707,Rep. Checa,0,227.5,D¢lar Estadounidense,19.11,34,No Encontrado,1,5235,5235,5235.04,5235.04,5288.15,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201707,Francia,0,1800,D¢lar Estadounidense,95.2,299,No Encontrado,5,5965.8,29829,5965.85,29829.25,30223.45,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
MINERA DON NICOLAS S.A.,201710,EE.UU.,,335,DOLAR ESTADOUNIDENSE,450,168.5,             NUEVO SIN USO IMP,1,16400,16400,16400,16400,17018.5,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
CERRO VANGUARDIA SOCIEDAD ANONIMA,201710,Finlandia,,315,DOLAR ESTADOUNIDENSE,1,1,             NUEVO SIN USO IMP,1,18600,18600,18600,18600,18602,SANDVIK,SANDVIK BR777,Martillo hidraulico,4.3 - 9.5,01. Chicas
GRUAS SAN BLAS S A,201710,Francia,,730,DOLAR ESTADOUNIDENSE,92.53,182.25,             NUEVO SIN USO IMP,3,5965.85,17897.55,5965.85,17897.55,18172.33,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
GRUAS SAN BLAS S A,201710,Francia,,778,DOLAR ESTADOUNIDENSE,111.13,239.95,             NUEVO SIN USO IMP,4,5965.85,23863.4,5965.85,23863.4,24214.48,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
VIAL NORCAR S R L,201710,Alemania,,1764,EURO,147,434.71,             NUEVO SIN USO IMP,1,36500,36500,43296.36,43296.36,43878.07,Epiroc,Epicoc HB2000,Martillo hidraulico,22.0 - 38.0,03. Grande
VIAL NORCAR S R L,201710,Alemania,,2185,EURO,182.1,518.16,             NUEVO SIN USO IMP,1,43500,43500,51599.77,51599.77,52300.03,Epiroc,Epiroc HB2500 DUST,Martillo hidraulico,27.0 - 46.0,04. Muy Grande
NORDEMAQ SA,201710,Italia,,1720,EURO,700,15.06,             NUEVO SIN USO IMP,4,3000,12000,3558.605,14234.42,14949.48,HAMMER,HAMMER HS450,Martillo hidraulico,6.0 - 11.0,02. Mediana
GRUAS SAN BLAS S A,201710,EE.UU.,,158,DOLAR ESTADOUNIDENSE,20.28,35.13,             NUEVO SIN USO IMP,5,693.12,3465.6,693.12,3465.6,3521.01,BOBCAT,BOBCAT HB2380,Martillo hidraulico,6.0 - 15.0,02. Mediana
IGARRETA MAQUINAS SA,201710,Francia,,1979.17,EURO,326.91,35.6,             NUEVO SIN USO IMP,3,3167.4,9502.2,3737.53,11212.59,11575.1,MONTABERT,MONTABERT SC22,Martillo hidraulico,2.2 - 5.3,01. Chicas
TRACK MAR SACI,201710,Italia,,3579.3,DOLAR ESTADOUNIDENSE,152.76,153.02,             NUEVO SIN USO IMP,2,7293.3,14586.6,7293.3,14586.6,14892.38,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201710,Italia,,1789.65,DOLAR ESTADOUNIDENSE,76.38,30.6,             NUEVO SIN USO IMP,1,16156.69,16156.69,16156.69,16156.69,16263.67,ITR,ITR UEH1700PSA,Martillo hidraulico,16.0 - 34.0,03. Grande
TRACK MAR SACI,201710,Italia,,3579.3,DOLAR ESTADOUNIDENSE,152.76,12.24,             NUEVO SIN USO IMP,2,3545.36,7090.71,3545.36,7090.71,7255.71,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
CANTERAS AMADEO S.R.L.,201710,Japon,,1045.64,DOLAR ESTADOUNIDENSE,27.74,291.13,             NUEVO SIN USO IMP,1,29085.14,29085.14,29085.14,29085.14,29404.01,NPK,NPK GH6,Martillo hidraulico,10.0 - 13.8,02. Mediana
TRACK MAR SACI,201710,EE.UU.,,2640,DOLAR ESTADOUNIDENSE,437.2,58.3,             NUEVO SIN USO IMP,2,10000,20000,10000,20000,20495.5,TACSA,TACSA THH2000BPC,Martillo hidraulico,15.0 - 25.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201710,EE.UU.,,471,DOLAR ESTADOUNIDENSE,59.39,10.35,             NUEVO SIN USO IMP,1,12867.34,12867.34,12867.34,12867.34,12937.08,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
